"idhod","hodnota","stapro_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","rok","tyden","roktyden","casref_od","casref_do","vek_txt","priznak"
"1326644593","83","5393","7700","410015610045000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","15-44",
"1326996999","454","5393","7700","410045610065000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","45-64",
"1326646544","490","5393","7700","410065610075000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","65-74",
"1326740643","712","5393","7700","410075610085000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","75-84",
"1326488536","546","5393","7700","410085799999000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","85 a více",
"1326307932","2298","5393",,,"97","19","2011","08","2011-W08","2011-02-21","2011-02-27","celkem",
"1326493895","5","5393","7700","400000610015000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","0-14",
"1326189065","66","5393","7700","410015610045000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","15-44",
"1326978658","487","5393","7700","410045610065000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","45-64",
"1326192009","433","5393","7700","410065610075000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","65-74",
"1326861747","713","5393","7700","410075610085000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","75-84",
"1326985447","551","5393","7700","410085799999000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","85 a více",
"1326652569","2255","5393",,,"97","19","2011","09","2011-W09","2011-02-28","2011-03-06","celkem",
"1326727790","4","5393","7700","400000610015000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","0-14",
"1326726672","74","5393","7700","410015610045000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","15-44",
"1326192429","392","5393","7700","410045610065000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","45-64",
"1326979032","457","5393","7700","410065610075000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","65-74",
"1326753649","684","5393","7700","410075610085000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","75-84",
"1326204759","601","5393","7700","410085799999000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","85 a více",
"1326741971","2212","5393",,,"97","19","2011","10","2011-W10","2011-03-07","2011-03-13","celkem",
"1326394669","12","5393","7700","400000610015000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","0-14",
"1326190270","78","5393","7700","410015610045000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","15-44",
"1326874571","462","5393","7700","410045610065000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","45-64",
"1326402548","432","5393","7700","410065610075000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","65-74",
"1326861440","732","5393","7700","410075610085000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","75-84",
"1326742298","570","5393","7700","410085799999000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","85 a více",
